sample ID	load
MI_001_H	29912714598.653778
MI_002_H	64012513040.983284
MI_003_H	46003236935.71064
MI_004_H	29631464767.595707
MI_005_H	46107607024.445786
MI_006_H	60201696019.80545
MI_007_H	46026275092.88934
MI_008_H1	57436968911.2754
MI_008_H2	62097979390.09215
MI_009_H	64507806443.03308
MI_010_H	37547922656.78749
MI_011_H	56687910327.854126
MI_012_H	39324105414.20584
MI_013_H	50396369775.94872
MI_014_H	63893423887.0501
MI_015_H	50442427952.399475
MI_016_H	64625202434.32652
MI_017_H	72841212564.98093
MI_018_H	36092416650.78957
MI_019_H	60354843437.48376
MI_020_H	66738301959.41142
MI_021_H	69131487760.56366
MI_022_H	42122080269.278824
MI_023_H	56374587099.35609
MI_024_H	61540593761.232605
MI_025_H	65325901402.25736
MI_026_H	66871356830.38281
MI_027_H	33936147330.26895
MI_028_H	66837738030.82539
MI_029_H	51524096340.09049
MI_030_H	36993688228.74903
MI_031_H	46667542399.65901
MI_032_H	60537885075.53345
MI_033_H	58993662445.990074
MI_034_H	59936432208.1305
MI_035_H	40841180759.90375
MI_036_H	55773943283.425285
MI_037_H	60308209430.789116
MI_038_H	54481130282.749664
MI_039_H	51137138180.478745
MI_040_H	65794649037.24997
MI_041_H	46989919358.0243
MI_042_H	61516949156.2766
MI_043_H	68500590147.38095
MI_044_H	46244596774.63759
MI_045_H	65326618657.24186
MI_046_H	62198286358.72215
MI_047_H	55009717540.8956
MI_048_H	51390535194.34648
MI_049_H	57700166051.941475
MI_050_H	56584187427.42327
MI_051_H	52767477424.272736
MI_052_H	35395441539.16213
MI_053_H	56123721578.005684
MI_054_H	48065900368.304756
MI_055_H	54955868571.344505
MI_056_H	66653648797.60501
MI_057_H	54352673260.760895
MI_058_H	67605761853.05458
MI_059_H	60812754437.5227
MI_060_H	61110875744.30548
MI_061_H	53863152840.96041
MI_062_H	50000639974.6144
MI_063_H	43722128262.099365
MI_064_H	47990808417.46792
MI_065_H	75422763576.07286
MI_066_H	56769379979.732605
MI_067_H	59762688977.83971
MI_068_H	59256705601.3896
MI_069_H	41856071192.82459
MI_070_H	59409275433.91407
MI_071_H	60502268674.89566
MI_072_H	59365848868.00768
MI_073_H	40117816531.33999
MI_074_H	62541642253.68248
MI_075_H	55932896842.017044
MI_076_H	45200055640.55747
MI_077_H	35697599071.61128
MI_078_H	42585802098.46678
MI_079_H	71910365520.23515
MI_080_H	60898413667.90413
MI_081_H	43512179745.04987
MI_082_H	68188576485.51824
MI_083_H	56647343748.95976
MI_084_H	59570086230.33385
MI_085_H	54906412658.791855
MI_086_H	48109089175.16449
MI_087_H	67461319655.58842
MI_088_H	65300945833.7576
MI_089_H	61682246013.2397
MI_090_H	41885401528.90868
MI_091_H	59840035730.97153
MI_092_H	64077768959.12646
MI_093_H1	63603512762.655464
MI_093_H12	64809666368.14797
MI_094_H	52857587567.996475
MI_095_H	62841338962.38152
MI_096_H	67981058767.11999
MI_097_H	37171123551.278305
MI_098_H	44851136550.217285
MI_099_H	64017573621.27436
MI_100_H	61300517639.80733
MI_101_H	59791961295.370155
MI_102_H	64227094662.23269
MI_103_H	81036366914.109
MI_104_H	71039444617.80295
MI_105_H	78409407421.58972
MI_106_H	69544416573.86514
MI_107_H	56459325731.36142
MI_108_H	69028487642.90196
MI_109_H	62575710909.45792
MI_110_H	84333961714.42244
MI_111_H	49534758437.11049
MI_112_H	74527139613.56331
MI_113_H	59413319763.188
MI_114_H	67016007450.995384
MI_115_H	58696717561.75056
MI_116_H	70326089711.59201
MI_117_H	39789514368.63418
MI_118_H	72644257020.45657
MI_119_H	59505370003.27107
MI_120_H	69194364417.87404
MI_122_H	55946531963.03408
MI_123_H	57671031321.352234
MI_124_H	54801978014.84177
MI_125_H	57113610625.7058
MI_126_H	54822921272.2297
MI_127_H	67953895105.85394
MI_128_H	56048839837.30709
MI_129_H	60360012491.93296
MI_130_H1	53382847202.79805
MI_130_H2	55972337231.419815
MI_131_H	54894839169.80643
MI_132_H	59491390083.06725
MI_133_H	62867149198.85377
MI_134_H	34182133928.61653
MI_135_H	58715538967.90444
MI_136_H	61054003813.06742
MI_137_H	50230753856.778465
MI_138_H	45673585656.72665
MI_139_H	36354911140.0513
MI_140_H	64880721274.31685
MI_141_H	40449893386.84818
MI_142_H	34026811163.29641
MI_143_H	60600397308.252235
MI_144_H	69790567539.86888
MI_145_H	55214243293.308365
MI_146_H	66186193192.82148
MI_147_H	58631920136.58851
MI_148_H	39429250302.75162
MI_149_H	60917941059.30493
MI_150_H	43869367141.09463
MI_151_H	70704065955.18855
MI_152_H	64312620172.09585
MI_153_H	75396434263.14204
MI_154_H	68341178648.10357
MI_155_H	56601212805.092384
MI_156_H	43800061854.51977
MI_157_H	46427033518.16491
MI_158_H	54315089776.2049
MI_159_H	60354710903.44693
MI_160_H	58194008481.37025
MI_161_H	57588647089.27944
MI_162_H	36336953300.081535
MI_163_H	60715481863.008385
MI_164_H	41285451920.18959
MI_165_H	51075077910.27296
MI_166_H	50532673205.21752
MI_167_H	44071844229.19329
MI_168_H	66645160119.9627
MI_169_H	64629743762.94266
MI_170_H	35800357808.88287
MI_171_H	54775990618.62491
MI_172_H	58405114806.531296
MI_173_H	71770909238.74403
MI_174_H	59590627085.584755
MI_175_H	74842842968.61526
MI_176_H	57346355312.70161
MI_177_H	70351729798.39749
MI_178_H	71858747765.71114
MI_179_H	65400250888.400505
MI_180_H	54651878594.72087
MI_181_H	60751357182.468704
MI_182_H	59199609233.24156
MI_183_H	67549668544.7916
MI_184_H	60613573006.78104
MI_185_H	57159155039.8805
MI_186_H	63282530390.31081
MI_187_H	57513831499.988464
MI_188_H	54097379895.74374
MI_189_H	61751228122.49905
MI_190_H	53382026639.26774
MI_191_H	57511053064.82575
MI_192_H	60232373742.52289
MI_193_H	51508598135.09141
MI_194_H	45567096014.39425
MI_195_H	36595922017.39647
MI_196_H	52763885484.71256
MI_197_H	60704016899.7994
MI_198_H1	54407723276.87105
MI_198_H2	47316081786.30519
MI_199_H	36979962053.824295
MI_200_H	55880966429.928116
MI_201_H	55484188079.82719
MI_202_H	58470303552.32407
MI_203_H	66180234548.19865
MI_204_H	57415783521.239914
MI_205_H	47108836579.6779
MI_206_H	63186857182.7819
MI_207_H	53171792948.037216
MI_208_H	77931519185.67393
MI_209_H	60176319376.159
MI_210_H	59608426162.95512
MI_211_H	36593189825.65934
MI_212_H	33999101321.81265
MI_213_H	38214038651.670074
MI_214_H	37468769740.99931
MI_215_H	30904498864.16144
MI_216_H	74641294736.09158
MI_217_H	60224702846.57713
MI_218_H	65001507886.02877
MI_219_H	46989403431.2157
MI_220_H	32428881421.423878
MI_221_H	55648303276.982475
MI_222_H	45160668363.22437
MI_223_H	43488394521.62356
MI_224_H	26818257551.81048
MI_225_H	46814213487.60678
MI_226_H	57485043320.03317
MI_227_H	58545334852.765854
MI_228_H	47124666639.03117
MI_229_H	57039036414.168304
MI_230_H	32302585854.184795
MI_232_H	62524614882.04003
MI_233_H	38715757770.01391
MI_234_H	53960347465.31236
MI_235_H	47742116956.72897
MI_236_H	53565677753.912285
MI_237_H	53345114332.04525
MI_238_H	46595453613.11826
MI_239_H	54153955076.96814
MI_240_H	65749442478.75485
MI_241_H	40506603183.89733
MI_242_H	55580524134.81446
MI_243_H	50822120333.177246
MI_244_H	39515668449.13155
MI_245_H	57975389521.62185
MI_246_H	50530232022.76736
MI_247_H	66866657990.67385
MI_248_H	56520480944.46666
MI_249_H	63387673773.23045
MI_250_H	42087685598.614174
MI_251_H	50661112296.170135
MI_252_H	51792033425.27391
MI_253_H	34962153485.30881
MI_254_H	44899718087.07076
MI_255_H	57812916577.93182
MI_256_H	58921679298.66868
MI_257_H	62994146163.479195
MI_258_H	54875796447.192055
MI_259_H	47648902528.82437
MI_260_H	57821549980.51488
MI_261_H	30879806350.226376
MI_262_H	57683696787.48357
MI_263_H	60472914198.90148
MI_264_H	68059027977.39055
MI_265_H	63323815903.697815
MI_266_H	64436027960.13196
MI_267_H	57999328573.63736
MI_269_H	61234862752.00324
MI_270_H	49605294279.57823
MI_271_H	36945466070.70714
MI_273_H	56972690966.93379
MI_274_H	66763953439.31911
MI_275_H	26953160849.34944
MI_276_H	60766700682.46989
MI_277_H	36567565371.391304
MI_278_H	50747068250.56992
MI_279_H	55278662392.30203
MI_280_H	45980614186.67438
MI_281_H	52218106687.04075
MI_282_H	54056530425.597725
MI_283_H	61920553705.61561
MI_284_H	40324755871.70021
MI_285_H	64034866956.043274
MI_286_H	62065806304.18857
MI_287_H	57045549939.32757
MI_288_H	67512150613.41271
MI_289_H	62645279529.120155
MI_290_H	66936881291.21678
MI_291_H	69787042781.30594
MI_292_H	42373493279.064896
MI_293_H	59482246118.08781
MI_294_H	52190479349.96122
MI_295_H	60976159113.95187
MI_296_H	69326987419.56613
MI_297_H	30668290442.374863
MI_298_H	65079346592.69287
MI_299_H	61256919250.867294
MI_300_H	65512653106.851395
MI_301_H	46661189195.199455
MI_302_H	54407603802.19777
MI_303_H	54102369445.1175
MI_304_H	30298257756.50198
MI_305_H	56146526163.523094
MI_306_H	62648168435.282
MI_307_H	60713215361.373314
MI_308_H	61780931779.49034
MI_309_H	50904884080.81566
MI_310_H	60315096276.43261
MI_311_H	27924218378.017258
MI_312_H	64741390389.040405
MI_313_H	36620520924.687675
MI_314_H	61048373154.565475
MI_315_H	62007501025.45881
MI_316_H	58310412891.60632
MI_317_H	62633450160.34995
MI_318_H	57921435584.189026
MI_319_H	36231063115.671234
MI_320_H	67490361229.056145
MI_321_H	58152747214.1952
MI_322_H	56599597038.345795
MI_323_H	52919024717.377075
MI_324_H	29364528277.128815
MI_325_H	66854325107.27769
MI_326_H	51481346181.82354
MI_327_H	46375984715.20121
MI_328_H	64812939732.620636
MI_329_H	49176129199.232216
MI_330_H	45067149746.594894
MI_331_H	56086760855.82833
MI_332_H	65503590534.80545
MI_333_H	42745449914.30336
MI_334_H	68492016655.03031
MI_335_H	58846553342.79473
MI_336_H	33772077514.431557
MI_337_H	66207416138.0833
MI_338_H	34675737854.13873
MI_339_H	48325828244.43862
MI_340_H	51428692420.59896
MI_341_H	57474188363.661125
MI_342_H	34572486947.826355
MI_343_H	63204481277.20223
MI_344_H	33786690323.818764
MI_345_H	53999819866.199684
MI_346_H	57168695106.51211
MI_347_H	52381302396.397675
MI_348_H	55880966429.928116
MI_349_H	53567442169.115944
MI_350_H	45151347434.91192
MI_351_H	56235984831.23446
MI_352_H	61069960165.90463
MI_353_H	39580541146.52317
MI_354_H	36420992470.22215
MI_355_H	39853436376.11072
MI_356_H	50258447422.95058
MI_357_H	42399368699.052086
MI_358_H	43627468879.23007
MI_359_H	61986943778.58391
MI_360_H	35603265263.233116
MI_361_H	51572317639.22789
MI_363_H	49272872297.30912
MI_364_H	52625261545.161026
MI_365_H	66247409346.38748
MI_366_H	30117035281.018326
MI_367_H	42440820880.11419
MI_368_H	61717201768.524605
MI_369_H	42991897329.743004
MI_370_H	51798175261.71746
MI_371_H	60083495104.96335
MI_372_H	56404677037.82319
MI_373_H	60476898133.80144
MI_374_H	54550443581.16363
MI_375_H	53763299778.239944
MI_376_H	55606649010.578804
MI_377_H	51718501736.338234
MI_380_H	62114754176.84709
MI_381_H	54425049881.8349
MI_382_H	54176435158.669334
MI_383_H	61288673033.54736
MI_384_H	60247321570.16646
MI_385_H	37934122028.341034
MI_386_H	61747838202.394936
MI_388_H	62097979390.09215
MI_389_H	38699947918.35935
MI_390_H	63125973945.63242
MI_391_H	47273812501.44786
MI_392_H	47827321102.42515
MI_393_H	57702826912.68788
MI_394_H	40314131297.12844
MI_395_H	47112560821.058304
MI_396_H	80192508102.55695
MI_397_H	49636021791.02655
MI_398_H	38497204279.926285
MI_399_H	49218478195.08619
MI_400_H	61539377531.334045
MI_401_H	34385702927.00711
MI_403_H	67575335100.699005
MI_404_H	50702958652.05523
MI_405_H	72779177153.38118
MI_406_H	66491964607.31093
MI_408_H	54388610665.92957
MI_409_H	38322863014.449684
MI_410_H	49618803323.69989
MI_411_H	57191673116.225586
MI_412_H	61325560363.1794
MI_413_H	60968125730.809784
MI_414_H	72864409472.31665
MI_415_H	36258840331.08145
MI_416_H	45367013280.30488
MI_417_H	46939282370.46039
MI_418_H	57330742391.94892
MI_419_H	65198928075.2932
MI_420_H	54510688390.07957
MI_421_H	52168823324.857765
MI_423_H	49568707610.20496
MI_424_H	53091988505.8601
MI_425_H	60336953974.651825
MI_426_H	46287470425.225334
MI_427_H	50521355989.76326
MI_430_H	61329869820.04278
MI_431_H	48749927721.698074
MI_433_H	47232410717.43969
MI_434_H	40011538352.05272
MI_435_H	40103547620.22791
MI_436_H	60740552347.06133
MI_437_H	59587879172.37237
MI_438_H	59800102334.244194
MI_439_H	50716098409.64087
MI_440_H	44883748372.322174
MI_442_H	56453870877.01759
MI_444_H	58958566156.091866
MI_445_H	55548068267.63034
MI_446_H	66881489827.1368
MI_447_H	57384272108.36559
MI_449_H	31712203898.023094
MI_450_H	32165549565.53412
MI_451_H	58459005805.58159
MI_452_H	28383495062.254055
MI_453_H	56714182095.54804
MI_454_H	56566297660.25322
MI_455_H	66478241009.810684
MI_456_H	61473736798.426964
MI_458_H1	36425951409.66999
MI_458_H2	42510215739.71535
MI_459_H	63770495152.42399
